<<<<<<< HEAD
com.example.smartlogistics.app-lifecycle-viewmodel-savedstate-2.7.0-0 C:\Users\HUAWEI\.gradle\caches\transforms-3\06c7ac21f2ec2667826c3884ae78d031\transformed\lifecycle-viewmodel-savedstate-2.7.0\res
com.example.smartlogistics.app-ui-release-1 C:\Users\HUAWEI\.gradle\caches\transforms-3\0a8f1651210ee22f92a579bb17164dbd\transformed\ui-release\res
com.example.smartlogistics.app-material-ripple-release-2 C:\Users\HUAWEI\.gradle\caches\transforms-3\0f3a9930547fc0cb55aa516e67a1d82d\transformed\material-ripple-release\res
com.example.smartlogistics.app-savedstate-ktx-1.2.1-3 C:\Users\HUAWEI\.gradle\caches\transforms-3\13c7aa4412f57883c435d4ffea80fc4f\transformed\savedstate-ktx-1.2.1\res
com.example.smartlogistics.app-navigation-compose-2.7.7-4 C:\Users\HUAWEI\.gradle\caches\transforms-3\22df2acd372c34d02ec9fcb5e7cf38ab\transformed\navigation-compose-2.7.7\res
com.example.smartlogistics.app-lifecycle-runtime-compose-2.7.0-5 C:\Users\HUAWEI\.gradle\caches\transforms-3\2477fe969719b3968f786df63b62c7b2\transformed\lifecycle-runtime-compose-2.7.0\res
com.example.smartlogistics.app-ui-graphics-release-6 C:\Users\HUAWEI\.gradle\caches\transforms-3\257e25d047c4a30bc29c5fb68a9a2bcd\transformed\ui-graphics-release\res
com.example.smartlogistics.app-navigation-runtime-2.7.7-7 C:\Users\HUAWEI\.gradle\caches\transforms-3\2df31d2388d42f4b5e5aa4ebf12de3e2\transformed\navigation-runtime-2.7.7\res
com.example.smartlogistics.app-material3-release-8 C:\Users\HUAWEI\.gradle\caches\transforms-3\31af2b2af7621a0f8014b28fb9dc06b9\transformed\material3-release\res
com.example.smartlogistics.app-runtime-release-9 C:\Users\HUAWEI\.gradle\caches\transforms-3\3fbb01222c6bcf399e9d5629d825a319\transformed\runtime-release\res
com.example.smartlogistics.app-material-icons-core-release-10 C:\Users\HUAWEI\.gradle\caches\transforms-3\422bf883e232d66bd5e0a3e3bd5b7628\transformed\material-icons-core-release\res
com.example.smartlogistics.app-activity-compose-1.8.2-11 C:\Users\HUAWEI\.gradle\caches\transforms-3\42baf7d5718eca7f9c0da94805d583e7\transformed\activity-compose-1.8.2\res
com.example.smartlogistics.app-navigation-runtime-ktx-2.7.7-12 C:\Users\HUAWEI\.gradle\caches\transforms-3\47017a0ce74c3ff6f9f208dc1f11c54b\transformed\navigation-runtime-ktx-2.7.7\res
com.example.smartlogistics.app-appcompat-resources-1.2.0-13 C:\Users\HUAWEI\.gradle\caches\transforms-3\494099a58e157b1de1b88ff163576151\transformed\appcompat-resources-1.2.0\res
com.example.smartlogistics.app-lifecycle-process-2.7.0-14 C:\Users\HUAWEI\.gradle\caches\transforms-3\4c2924f70e8c04987f83fcfd1bb151d3\transformed\lifecycle-process-2.7.0\res
com.example.smartlogistics.app-ui-util-release-15 C:\Users\HUAWEI\.gradle\caches\transforms-3\55cdafe22a7168451059d025bf9a9209\transformed\ui-util-release\res
com.example.smartlogistics.app-runtime-saveable-release-16 C:\Users\HUAWEI\.gradle\caches\transforms-3\577a124771b5c542bc518c2a5714b147\transformed\runtime-saveable-release\res
com.example.smartlogistics.app-navigation-common-2.7.7-17 C:\Users\HUAWEI\.gradle\caches\transforms-3\58e9f40e93ad2604c7f7d2939d66d656\transformed\navigation-common-2.7.7\res
com.example.smartlogistics.app-lifecycle-livedata-2.7.0-18 C:\Users\HUAWEI\.gradle\caches\transforms-3\5cc4fd7bc44674266a738e5ebb966f5c\transformed\lifecycle-livedata-2.7.0\res
com.example.smartlogistics.app-ui-geometry-release-19 C:\Users\HUAWEI\.gradle\caches\transforms-3\5d4c049e63724e880314a983a23b011b\transformed\ui-geometry-release\res
com.example.smartlogistics.app-emoji2-1.3.0-20 C:\Users\HUAWEI\.gradle\caches\transforms-3\717f9dc071b78a0adec328cdd5ebdb1e\transformed\emoji2-1.3.0\res
com.example.smartlogistics.app-lifecycle-livedata-core-ktx-2.7.0-21 C:\Users\HUAWEI\.gradle\caches\transforms-3\803160c04cb3779c01c93e52e12738b1\transformed\lifecycle-livedata-core-ktx-2.7.0\res
com.example.smartlogistics.app-foundation-layout-release-22 C:\Users\HUAWEI\.gradle\caches\transforms-3\9036cd12bf87d95093eaba567235ae2a\transformed\foundation-layout-release\res
com.example.smartlogistics.app-ui-tooling-preview-release-23 C:\Users\HUAWEI\.gradle\caches\transforms-3\907ccc5f497ebb959d33f14451c75c6e\transformed\ui-tooling-preview-release\res
com.example.smartlogistics.app-annotation-experimental-1.4.0-24 C:\Users\HUAWEI\.gradle\caches\transforms-3\935ca2afead505062205016701139742\transformed\annotation-experimental-1.4.0\res
com.example.smartlogistics.app-AMap3DMap_10.1.600_AMapSearch_9.7.4_AMapLocation_6.5.1_20251020-25 C:\Users\HUAWEI\.gradle\caches\transforms-3\95ab0fafd37560dd1c4eb5c80e222b0b\transformed\AMap3DMap_10.1.600_AMapSearch_9.7.4_AMapLocation_6.5.1_20251020\res
com.example.smartlogistics.app-lifecycle-viewmodel-compose-2.7.0-26 C:\Users\HUAWEI\.gradle\caches\transforms-3\9eb8d1f995e3c0d1c6152053a5ab6ea0\transformed\lifecycle-viewmodel-compose-2.7.0\res
com.example.smartlogistics.app-animation-release-27 C:\Users\HUAWEI\.gradle\caches\transforms-3\a014606f26b81ec22bf6eb7f8c60b182\transformed\animation-release\res
com.example.smartlogistics.app-lifecycle-viewmodel-ktx-2.7.0-28 C:\Users\HUAWEI\.gradle\caches\transforms-3\a0deec19768cbe850a85da7400e9eea2\transformed\lifecycle-viewmodel-ktx-2.7.0\res
com.example.smartlogistics.app-lifecycle-livedata-core-2.7.0-29 C:\Users\HUAWEI\.gradle\caches\transforms-3\aa17826a1efedf74a38a1302d265141d\transformed\lifecycle-livedata-core-2.7.0\res
com.example.smartlogistics.app-foundation-release-30 C:\Users\HUAWEI\.gradle\caches\transforms-3\aad9720d793cc57cbf7dc0fa71535848\transformed\foundation-release\res
com.example.smartlogistics.app-fragment-1.2.5-31 C:\Users\HUAWEI\.gradle\caches\transforms-3\acbee85421dc03b4a86af53b87196d62\transformed\fragment-1.2.5\res
com.example.smartlogistics.app-activity-1.8.2-32 C:\Users\HUAWEI\.gradle\caches\transforms-3\ba12532002ff5700c838324281101227\transformed\activity-1.8.2\res
com.example.smartlogistics.app-startup-runtime-1.1.1-33 C:\Users\HUAWEI\.gradle\caches\transforms-3\bd50c3342304ece3fc0f4987dbf8e037\transformed\startup-runtime-1.1.1\res
com.example.smartlogistics.app-ui-unit-release-34 C:\Users\HUAWEI\.gradle\caches\transforms-3\bd775696ec55cb3da830b064d3dedb83\transformed\ui-unit-release\res
com.example.smartlogistics.app-material-release-35 C:\Users\HUAWEI\.gradle\caches\transforms-3\c80b6d3d17f12020a1f62a07c3a73499\transformed\material-release\res
com.example.smartlogistics.app-navigation-common-ktx-2.7.7-36 C:\Users\HUAWEI\.gradle\caches\transforms-3\c9020e9cfa9726905bf842b9adb50cd0\transformed\navigation-common-ktx-2.7.7\res
com.example.smartlogistics.app-activity-ktx-1.8.2-37 C:\Users\HUAWEI\.gradle\caches\transforms-3\c99b79128b1be4fe6ff3bc5fc6cc8d9d\transformed\activity-ktx-1.8.2\res
com.example.smartlogistics.app-ui-text-release-38 C:\Users\HUAWEI\.gradle\caches\transforms-3\ca7999953fa1f21de63c3428c9f16893\transformed\ui-text-release\res
com.example.smartlogistics.app-core-1.12.0-39 C:\Users\HUAWEI\.gradle\caches\transforms-3\d1e4a685b1001794fbcfe4ee9c157a7e\transformed\core-1.12.0\res
com.example.smartlogistics.app-animation-core-release-40 C:\Users\HUAWEI\.gradle\caches\transforms-3\d3603ce2fcaef04ed8c1c83ab7900749\transformed\animation-core-release\res
com.example.smartlogistics.app-lifecycle-runtime-ktx-2.7.0-41 C:\Users\HUAWEI\.gradle\caches\transforms-3\d7343b270bab0cb8a9fc584b9c2dbb07\transformed\lifecycle-runtime-ktx-2.7.0\res
com.example.smartlogistics.app-lifecycle-runtime-2.7.0-42 C:\Users\HUAWEI\.gradle\caches\transforms-3\d8c23ae62514d126668047c47706591f\transformed\lifecycle-runtime-2.7.0\res
com.example.smartlogistics.app-biometric-1.1.0-43 C:\Users\HUAWEI\.gradle\caches\transforms-3\dcf42b8cc3ebf2ae2daa4166bc444d10\transformed\biometric-1.1.0\res
com.example.smartlogistics.app-savedstate-1.2.1-44 C:\Users\HUAWEI\.gradle\caches\transforms-3\dd5bf7646a22a18020a2053e33d32a88\transformed\savedstate-1.2.1\res
com.example.smartlogistics.app-appcompat-1.2.0-45 C:\Users\HUAWEI\.gradle\caches\transforms-3\e3c77c8c7a783fc2c0e7549fe99aa678\transformed\appcompat-1.2.0\res
com.example.smartlogistics.app-ui-tooling-data-release-46 C:\Users\HUAWEI\.gradle\caches\transforms-3\e4139d7ce36352cc9d974cbcd7166606\transformed\ui-tooling-data-release\res
com.example.smartlogistics.app-material-icons-extended-release-47 C:\Users\HUAWEI\.gradle\caches\transforms-3\e7b97e81a15b6b329f38d737ae832ce0\transformed\material-icons-extended-release\res
com.example.smartlogistics.app-customview-poolingcontainer-1.0.0-48 C:\Users\HUAWEI\.gradle\caches\transforms-3\e941b01fde22fdff89b30af19d350aae\transformed\customview-poolingcontainer-1.0.0\res
com.example.smartlogistics.app-lifecycle-viewmodel-2.7.0-49 C:\Users\HUAWEI\.gradle\caches\transforms-3\eaf4098f7f2e5a321bd276b2ce870aa2\transformed\lifecycle-viewmodel-2.7.0\res
